source_id,sink_id,co2_transported
447853,10788,10000000.0
447853,10790,2995000.0
447850,10794,864700.0
447850,10817,10000000.0
447857,10793,7380500.0
25452624,10817,4987400.0
447858,10817,3902500.0
25454349,10817,3292400.0
447861,10794,3118800.0
4401888,10817,2710200.0
447856,10817,2105600.0
447859,10789,2091300.0
25455740,10817,2014900.0
450779,10794,1738400.0
451239,10794,1664500.0
451238,10794,1664500.0
25453172,10817,1636300.0
447929,10821,1574700.0
25450315,10817,1151040.0
449510,10817,860840.0
25450651,10820,812410.0
447854,10792,799970.0
447416,10817,778980.0
448291,10817,770460.0
25455501,10794,748330.0
451357,10817,662300.0
25452702,10817,564170.0
25451098,10817,399770.0
452727,10817,363660.0
449124,10794,354140.0
25452857,10817,347540.0
450184,10817,347270.0
452278,10794,333120.0
452572,10817,332620.0
453006,10817,316730.0
452148,10817,314180.0
449507,10793,300310.0
450622,10817,296110.0
452578,10794,285610.0
25450655,10817,275330.0
25452361,10817,274390.0
452439,10817,264920.0
452438,10817,264920.0
452579,10787,264920.0
449790,10817,264270.0
452573,10817,263170.0
451653,10794,263170.0
25450652,10790,249370.0
448215,10817,247420.0
25451455,10817,236210.0
451859,10793,231800.0
25452309,10817,228960.0
449509,10817,220330.0
452997,10793,214150.0
25454933,10793,212780.0
25455470,10817,209540.0
25455471,10817,209540.0
452301,10794,193440.0
449246,10817,182840.0
447370,10817,173050.0
452571,10817,166300.0
452576,10794,166300.0
451631,10794,154940.0
452126,10793,145370.0
450275,10817,142910.0
451459,10817,135963.0
452269,10817,132443.0
452574,10817,132443.0
452575,10794,132443.0
25455109,10794,132443.0
25455387,10817,132443.0
453044,10794,132443.0
452437,10817,132443.0
451866,10817,132443.0
451655,10817,132443.0
451654,10794,131580.0
451656,10794,131580.0
451657,10817,131580.0
451658,10794,131580.0
449835,10817,126099.0
452728,10817,125829.0
449902,10794,124024.0
25452997,10817,124024.0
447469,10817,107634.0
25455511,10817,66230.0
25455728,10817,62131.0
