,31922462,31922458,31922457,31922461,31922459,31922460
10273,565.1921676495508,454.36105949481873,549.371158965383,614.9811552801594,398.38879468886506,454.54607135972657
10274,611.4670924118209,475.7001719186629,594.1292354654455,661.233840985516,421.45402878369356,472.7402858591232
10275,520.8942348404261,458.88240434556883,512.5407631316025,570.9471002182687,401.4593779903247,462.9363653288576
10276,425.13956628433885,111.23559950241052,230.38552698573014,442.89030785771143,121.66588331591899,155.51046171350686
10277,425.1125393797101,111.21360600594265,230.36948790366557,442.87034485508076,121.63352628018846,155.4866089887753
10278,464.99328307776136,57.96196672605739,264.34678159495957,488.03506054737704,68.75271132561264,90.14468275021288
10279,262.6151405517352,174.68224707335003,171.50888664297815,275.8442110091514,173.44448899569684,199.8851661830304
10280,262.59408171132657,174.66819444393437,171.4932944605014,275.82978216588504,173.41788609692318,199.87148556550065
10281,22.910393562077452,561.0242820655284,111.34086722117654,45.39450695998457,528.1713003503303,591.8026821761493
10282,474.19417443318906,100.32822348126027,266.78008533882644,491.1858216663395,120.37840447189252,117.88798536236318
10283,93.07115750395282,436.78520728791165,96.77847530490034,145.78627636261174,397.8379225097883,465.46894166328127
10284,401.42946379890776,186.9234527993789,209.72103534091195,410.877882262846,199.85430717753673,210.3745244389448
10285,225.8801562492648,404.5445550458049,222.70637194634267,263.1679645985171,266.3499397873974,424.8382883140855
10286,203.81003720855966,262.69404770302214,94.03322516940385,207.10952349578616,259.475102042485,380.524713504196
10287,203.77505597317105,262.6799325207749,94.00104704304596,207.08281195539627,259.4523585251884,380.5062524123556
Atmosphere,20.0,20.0,20.0,20.0,20.0,20.0
